"ªÁøÎ¿œ¿⁄","»£º±∏Ì","ø™∏Ì","Ω¬¬˜√—Ω¬∞¥ºˆ","«œ¬˜√—Ω¬∞¥ºˆ","µÓ∑œ¿œ¿⁄"
"20221125","∞Ê√·º±","∏∂ºÆ","4371","4347","20221128"
"20221125","∞Ê√·º±","πÈæÁ∏Æ","67","66","20221128"
"20221125","∞Ê√·º±","∫∞≥ª","3551","3338","20221128"
"20221125","∞Ê√·º±","ªÁ∏™","2605","2555","20221128"
"20221125","∞Ê√·º±","ªÛ√µ","260","261","20221128"
"20221125","∞Ê√·º±","Ω≈≥ª","2428","2282","20221128"
"20221125","∞Ê√·º±","√µ∏∂ªÍ","1812","1695","20221128"
"20221125","∞Ê√·º±","√ª∆Ú","1767","1958","20221128"
"20221125","∞Ê√·º±","√·√µ","2119","1529","20221128"
"20221125","∞Ê√·º±","≈∞Ëø¯","3823","3633","20221128"
"20221125","∞Ê√·º±","∆Ú≥ª»£∆Ú","6715","6859","20221128"
"20221124","∞Ê√·º±","∞°∆Ú","1753","1780","20221127"
"20221124","∞Ê√·º±","∞•∏≈","3325","2859","20221127"
"20221124","∞Ê√·º±","∞≠√Ã","399","428","20221127"
"20221124","∞Ê√·º±","±º∫¿ªÍ","97","98","20221127"
"20221124","∞Ê√·º±","±›∞Ó","1667","1630","20221127"
"20221124","∞Ê√·º±","±Ë¿Ø¡§","335","348","20221127"
"20221124","∞Ê√·º±","≥≤√·√µ","3215","2640","20221127"
"20221124","∞Ê√·º±","¥Îº∫∏Æ","580","605","20221127"
"20221124","∞Ê√·º±","∏∂ºÆ","4404","4339","20221127"
"20221124","∞Ê√·º±","πÈæÁ∏Æ","52","53","20221127"
"20221124","∞Ê√·º±","∫∞≥ª","3542","3340","20221127"
"20221124","∞Ê√·º±","ªÁ∏™","2723","2687","20221127"
"20221124","∞Ê√·º±","ªÛ√µ","286","287","20221127"
"20221124","∞Ê√·º±","Ω≈≥ª","2469","2397","20221127"
"20221124","∞Ê√·º±","√µ∏∂ªÍ","1821","1671","20221127"
"20221124","∞Ê√·º±","√ª∆Ú","1731","1668","20221127"
"20221124","∞Ê√·º±","√·√µ","2083","1570","20221127"
"20221124","∞Ê√·º±","≈∞Ëø¯","3962","3652","20221127"
"20221124","∞Ê√·º±","∆Ú≥ª»£∆Ú","7031","6992","20221127"
"20221123","∞Ê√·º±","∞°∆Ú","1745","1697","20221126"
"20221123","∞Ê√·º±","∞•∏≈","3296","2793","20221126"
"20221123","∞Ê√·º±","∞≠√Ã","465","420","20221126"
"20221123","∞Ê√·º±","±º∫¿ªÍ","112","95","20221126"
"20221123","∞Ê√·º±","±›∞Ó","1629","1664","20221126"
"20221123","∞Ê√·º±","±Ë¿Ø¡§","303","327","20221126"
"20221123","∞Ê√·º±","≥≤√·√µ","2498","2472","20221126"
"20221123","∞Ê√·º±","¥Îº∫∏Æ","497","477","20221126"
"20221123","∞Ê√·º±","∏∂ºÆ","4700","4642","20221126"
"20221123","∞Ê√·º±","πÈæÁ∏Æ","92","77","20221126"
"20221123","∞Ê√·º±","∫∞≥ª","3475","3244","20221126"
"20221123","∞Ê√·º±","ªÁ∏™","2687","2562","20221126"
"20221123","∞Ê√·º±","ªÛ√µ","254","244","20221126"
"20221123","∞Ê√·º±","Ω≈≥ª","2535","2461","20221126"
"20221123","∞Ê√·º±","√µ∏∂ªÍ","1840","1728","20221126"
"20221123","∞Ê√·º±","√ª∆Ú","1623","1614","20221126"
"20221123","∞Ê√·º±","√·√µ","1592","1471","20221126"
"20221123","∞Ê√·º±","≈∞Ëø¯","3911","3630","20221126"
"20221123","∞Ê√·º±","∆Ú≥ª»£∆Ú","7044","6981","20221126"
"20221122","∞Ê√·º±","∞°∆Ú","1691","1678","20221125"
"20221122","∞Ê√·º±","∞•∏≈","3280","2833","20221125"
"20221122","∞Ê√·º±","∞≠√Ã","518","524","20221125"
"20221122","∞Ê√·º±","±º∫¿ªÍ","101","99","20221125"
"20221122","∞Ê√·º±","±›∞Ó","1645","1624","20221125"
"20221122","∞Ê√·º±","±Ë¿Ø¡§","271","283","20221125"
"20221122","∞Ê√·º±","≥≤√·√µ","2884","2910","20221125"
"20221122","∞Ê√·º±","¥Îº∫∏Æ","506","480","20221125"
"20221122","∞Ê√·º±","∏∂ºÆ","4330","4187","20221125"
"20221122","∞Ê√·º±","πÈæÁ∏Æ","65","64","20221125"
"20221122","∞Ê√·º±","∫∞≥ª","3500","3269","20221125"
"20221122","∞Ê√·º±","ªÁ∏™","2672","2567","20221125"
"20221122","∞Ê√·º±","ªÛ√µ","256","236","20221125"
"20221122","∞Ê√·º±","Ω≈≥ª","2485","2385","20221125"
"20221122","∞Ê√·º±","√µ∏∂ªÍ","1862","1716","20221125"
"20221122","∞Ê√·º±","√ª∆Ú","1643","1608","20221125"
"20221122","∞Ê√·º±","√·√µ","1670","1530","20221125"
"20221122","∞Ê√·º±","≈∞Ëø¯","3917","3597","20221125"
"20221122","∞Ê√·º±","∆Ú≥ª»£∆Ú","7081","6882","20221125"
"20221121","∞Ê√·º±","∞°∆Ú","1864","1746","20221124"
"20221121","∞Ê√·º±","∞•∏≈","3281","2816","20221124"
"20221121","∞Ê√·º±","∞≠√Ã","504","514","20221124"
"20221121","∞Ê√·º±","±º∫¿ªÍ","104","105","20221124"
"20221121","∞Ê√·º±","±›∞Ó","1645","1602","20221124"
"20221121","∞Ê√·º±","±Ë¿Ø¡§","355","358","20221124"
"20221121","∞Ê√·º±","≥≤√·√µ","2594","3128","20221124"
"20221121","∞Ê√·º±","¥Îº∫∏Æ","560","433","20221124"
"20221121","∞Ê√·º±","∏∂ºÆ","4370","4277","20221124"
"20221121","∞Ê√·º±","πÈæÁ∏Æ","101","70","20221124"
"20221121","∞Ê√·º±","∫∞≥ª","3502","3288","20221124"
"20221121","∞Ê√·º±","ªÁ∏™","2808","2561","20221124"
"20221121","∞Ê√·º±","ªÛ√µ","251","222","20221124"
"20221121","∞Ê√·º±","Ω≈≥ª","2592","2439","20221124"
"20221121","∞Ê√·º±","√µ∏∂ªÍ","1781","1636","20221124"
"20221121","∞Ê√·º±","√ª∆Ú","1779","1633","20221124"
"20221121","∞Ê√·º±","√·√µ","1782","1893","20221124"
"20221121","∞Ê√·º±","≈∞Ëø¯","3931","3464","20221124"
"20221121","∞Ê√·º±","∆Ú≥ª»£∆Ú","7181","6808","20221124"
"20221120","∞Ê√·º±","∞°∆Ú","2276","1772","20221123"
"20221120","∞Ê√·º±","∞•∏≈","1661","1420","20221123"
"20221120","∞Ê√·º±","∞≠√Ã","783","523","20221123"
"20221120","∞Ê√·º±","±º∫¿ªÍ","300","247","20221123"
"20221120","∞Ê√·º±","±›∞Ó","909","848","20221123"
"20221120","∞Ê√·º±","±Ë¿Ø¡§","557","656","20221123"
"20221120","∞Ê√·º±","≥≤√·√µ","2645","3443","20221123"
"20221120","∞Ê√·º±","¥Îº∫∏Æ","1792","470","20221123"
"20221120","∞Ê√·º±","∏∂ºÆ","2793","2687","20221123"
"20221120","∞Ê√·º±","πÈæÁ∏Æ","93","87","20221123"
"20221120","∞Ê√·º±","∫∞≥ª","1975","1764","20221123"
"20221120","∞Ê√·º±","ªÁ∏™","1452","1367","20221123"
"20221120","∞Ê√·º±","ªÛ√µ","575","424","20221123"
"20221120","∞Ê√·º±","Ω≈≥ª","1121","1096","20221123"
"20221120","∞Ê√·º±","√µ∏∂ªÍ","1196","1115","20221123"
"20221120","∞Ê√·º±","√ª∆Ú","1922","1414","20221123"
"20221120","∞Ê√·º±","√·√µ","1942","1867","20221123"
"20221120","∞Ê√·º±","≈∞Ëø¯","2205","1979","20221123"
"20221120","∞Ê√·º±","∆Ú≥ª»£∆Ú","3622","3401","20221123"
"20221119","∞Ê√·º±","∞°∆Ú","2273","2533","20221122"
"20221119","∞Ê√·º±","∞•∏≈","2086","1826","20221122"
"20221119","∞Ê√·º±","∞≠√Ã","785","706","20221122"
"20221119","∞Ê√·º±","±º∫¿ªÍ","177","229","20221122"
"20221119","∞Ê√·º±","±›∞Ó","1203","1127","20221122"
"20221119","∞Ê√·º±","±Ë¿Ø¡§","529","674","20221122"
"20221119","∞Ê√·º±","≥≤√·√µ","3286","3541","20221122"
"20221119","∞Ê√·º±","¥Îº∫∏Æ","1171","2015","20221122"
"20221119","∞Ê√·º±","∏∂ºÆ","3688","3379","20221122"
"20221119","∞Ê√·º±","πÈæÁ∏Æ","102","100","20221122"
"20221119","∞Ê√·º±","∫∞≥ª","2461","2305","20221122"
"20221119","∞Ê√·º±","ªÁ∏™","1745","1708","20221122"
"20221119","∞Ê√·º±","ªÛ√µ","327","359","20221122"
"20221119","∞Ê√·º±","Ω≈≥ª","1488","1381","20221122"
"20221119","∞Ê√·º±","√µ∏∂ªÍ","1464","1397","20221122"
"20221119","∞Ê√·º±","√ª∆Ú","2051","2236","20221122"
"20221119","∞Ê√·º±","√·√µ","2056","1836","20221122"
"20221119","∞Ê√·º±","≈∞Ëø¯","2817","2506","20221122"
"20221119","∞Ê√·º±","∆Ú≥ª»£∆Ú","4946","4761","20221122"
"20221118","∞Ê√·º±","∞°∆Ú","1983","2137","20221121"
"20221118","∞Ê√·º±","∞•∏≈","3209","2806","20221121"
"20221118","∞Ê√·º±","∞≠√Ã","448","549","20221121"
"20221118","∞Ê√·º±","±º∫¿ªÍ","113","122","20221121"
"20221118","∞Ê√·º±","±›∞Ó","1621","1603","20221121"
"20221118","∞Ê√·º±","±Ë¿Ø¡§","363","461","20221121"
"20221118","∞Ê√·º±","≥≤√·√µ","3813","3180","20221121"
"20221118","∞Ê√·º±","¥Îº∫∏Æ","587","1224","20221121"
"20221118","∞Ê√·º±","∏∂ºÆ","4687","4716","20221121"
"20221118","∞Ê√·º±","πÈæÁ∏Æ","53","74","20221121"
"20221118","∞Ê√·º±","∫∞≥ª","3560","3449","20221121"
"20221118","∞Ê√·º±","ªÁ∏™","2642","2630","20221121"
"20221118","∞Ê√·º±","ªÛ√µ","264","281","20221121"
"20221118","∞Ê√·º±","Ω≈≥ª","2420","2203","20221121"
"20221118","∞Ê√·º±","√µ∏∂ªÍ","1799","1598","20221121"
"20221118","∞Ê√·º±","√ª∆Ú","1753","2012","20221121"
"20221118","∞Ê√·º±","√·√µ","2201","1597","20221121"
"20221118","∞Ê√·º±","≈∞Ëø¯","3935","3623","20221121"
"20221118","∞Ê√·º±","∆Ú≥ª»£∆Ú","6973","7020","20221121"
"20221117","∞Ê√·º±","∞°∆Ú","1897","1871","20221120"
"20221117","∞Ê√·º±","∞•∏≈","3239","2819","20221120"
"20221117","∞Ê√·º±","∞≠√Ã","547","490","20221120"
"20221117","∞Ê√·º±","±º∫¿ªÍ","141","126","20221120"
"20221117","∞Ê√·º±","±›∞Ó","1704","1633","20221120"
"20221117","∞Ê√·º±","±Ë¿Ø¡§","388","420","20221120"
"20221117","∞Ê√·º±","≥≤√·√µ","3649","3151","20221120"
"20221117","∞Ê√·º±","¥Îº∫∏Æ","561","547","20221120"
"20221117","∞Ê√·º±","∏∂ºÆ","4262","4218","20221120"
"20221117","∞Ê√·º±","πÈæÁ∏Æ","68","68","20221120"
"20221117","∞Ê√·º±","∫∞≥ª","3417","3258","20221120"
"20221117","∞Ê√·º±","ªÁ∏™","2665","2547","20221120"
"20221117","∞Ê√·º±","ªÛ√µ","292","273","20221120"
"20221117","∞Ê√·º±","Ω≈≥ª","2379","2307","20221120"
"20221117","∞Ê√·º±","√µ∏∂ªÍ","1815","1682","20221120"
"20221117","∞Ê√·º±","√ª∆Ú","1624","1605","20221120"
"20221117","∞Ê√·º±","√·√µ","2203","1754","20221120"
"20221117","∞Ê√·º±","≈∞Ëø¯","3926","3682","20221120"
"20221117","∞Ê√·º±","∆Ú≥ª»£∆Ú","7036","7044","20221120"
"20221116","∞Ê√·º±","∞°∆Ú","1669","1630","20221119"
"20221116","∞Ê√·º±","∞•∏≈","3284","2783","20221119"
"20221116","∞Ê√·º±","∞≠√Ã","489","512","20221119"
"20221116","∞Ê√·º±","±º∫¿ªÍ","120","119","20221119"
"20221116","∞Ê√·º±","±›∞Ó","1646","1607","20221119"
"20221116","∞Ê√·º±","±Ë¿Ø¡§","315","363","20221119"
"20221116","∞Ê√·º±","≥≤√·√µ","2485","2449","20221119"
"20221116","∞Ê√·º±","¥Îº∫∏Æ","526","508","20221119"
"20221116","∞Ê√·º±","∏∂ºÆ","4360","4239","20221119"
"20221116","∞Ê√·º±","πÈæÁ∏Æ","61","61","20221119"
"20221116","∞Ê√·º±","∫∞≥ª","3441","3236","20221119"
"20221116","∞Ê√·º±","ªÁ∏™","2768","2582","20221119"
"20221116","∞Ê√·º±","ªÛ√µ","268","243","20221119"
"20221116","∞Ê√·º±","Ω≈≥ª","2534","2375","20221119"
"20221116","∞Ê√·º±","√µ∏∂ªÍ","1843","1693","20221119"
"20221116","∞Ê√·º±","√ª∆Ú","1559","1501","20221119"
"20221116","∞Ê√·º±","√·√µ","1696","1562","20221119"
"20221116","∞Ê√·º±","≈∞Ëø¯","3939","3666","20221119"
"20221116","∞Ê√·º±","∆Ú≥ª»£∆Ú","7091","6919","20221119"
"20221115","∞Ê√·º±","∞°∆Ú","1846","1712","20221118"
"20221115","∞Ê√·º±","∞•∏≈","3297","2807","20221118"
"20221115","∞Ê√·º±","∞≠√Ã","606","500","20221118"
"20221115","∞Ê√·º±","±º∫¿ªÍ","126","120","20221118"
"20221115","∞Ê√·º±","±›∞Ó","1646","1595","20221118"
"20221115","∞Ê√·º±","±Ë¿Ø¡§","360","432","20221118"
"20221115","∞Ê√·º±","≥≤√·√µ","2511","2677","20221118"
"20221115","∞Ê√·º±","¥Îº∫∏Æ","493","481","20221118"
"20221115","∞Ê√·º±","∏∂ºÆ","4182","4113","20221118"
"20221115","∞Ê√·º±","πÈæÁ∏Æ","87","65","20221118"
"20221115","∞Ê√·º±","∫∞≥ª","3398","3226","20221118"
"20221115","∞Ê√·º±","ªÁ∏™","2778","2568","20221118"
"20221115","∞Ê√·º±","ªÛ√µ","242","225","20221118"
"20221115","∞Ê√·º±","Ω≈≥ª","2401","2329","20221118"
"20221115","∞Ê√·º±","√µ∏∂ªÍ","1821","1658","20221118"
"20221115","∞Ê√·º±","√ª∆Ú","1515","1433","20221118"
"20221115","∞Ê√·º±","√·√µ","1730","1514","20221118"
"20221115","∞Ê√·º±","≈∞Ëø¯","3942","3541","20221118"
"20221115","∞Ê√·º±","∆Ú≥ª»£∆Ú","6921","6676","20221118"
"20221114","∞Ê√·º±","∞°∆Ú","1909","1734","20221117"
"20221114","∞Ê√·º±","∞•∏≈","3189","2766","20221117"
"20221114","∞Ê√·º±","∞≠√Ã","543","527","20221117"
"20221114","∞Ê√·º±","±º∫¿ªÍ","113","102","20221117"
"20221114","∞Ê√·º±","±›∞Ó","1613","1515","20221117"
"20221114","∞Ê√·º±","±Ë¿Ø¡§","313","321","20221117"
"20221114","∞Ê√·º±","≥≤√·√µ","2571","3001","20221117"
"20221114","∞Ê√·º±","¥Îº∫∏Æ","463","425","20221117"
"20221114","∞Ê√·º±","∏∂ºÆ","4262","4060","20221117"
"20221114","∞Ê√·º±","πÈæÁ∏Æ","80","77","20221117"
"20221114","∞Ê√·º±","∫∞≥ª","3441","3218","20221117"
"20221114","∞Ê√·º±","ªÁ∏™","2741","2422","20221117"
"20221114","∞Ê√·º±","ªÛ√µ","298","263","20221117"
"20221114","∞Ê√·º±","Ω≈≥ª","2442","2269","20221117"
"20221114","∞Ê√·º±","√µ∏∂ªÍ","1809","1618","20221117"
"20221114","∞Ê√·º±","√ª∆Ú","1592","1471","20221117"
"20221114","∞Ê√·º±","√·√µ","1693","1819","20221117"
"20221114","∞Ê√·º±","≈∞Ëø¯","3895","3543","20221117"
"20221114","∞Ê√·º±","∆Ú≥ª»£∆Ú","6854","6731","20221117"
"20221113","∞Ê√·º±","∞°∆Ú","2206","1585","20221116"
"20221113","∞Ê√·º±","∞•∏≈","1442","1263","20221116"
"20221113","∞Ê√·º±","∞≠√Ã","652","367","20221116"
"20221113","∞Ê√·º±","±º∫¿ªÍ","165","122","20221116"
"20221113","∞Ê√·º±","±›∞Ó","892","814","20221116"
"20221113","∞Ê√·º±","±Ë¿Ø¡§","422","425","20221116"
"20221113","∞Ê√·º±","≥≤√·√µ","2625","3445","20221116"
"20221113","∞Ê√·º±","¥Îº∫∏Æ","1880","429","20221116"
"20221113","∞Ê√·º±","∏∂ºÆ","2984","2860","20221116"
"20221113","∞Ê√·º±","πÈæÁ∏Æ","97","74","20221116"
"20221113","∞Ê√·º±","∫∞≥ª","1773","1697","20221116"
"20221113","∞Ê√·º±","ªÁ∏™","1331","1273","20221116"
"20221113","∞Ê√·º±","ªÛ√µ","363","283","20221116"
"20221113","∞Ê√·º±","Ω≈≥ª","981","963","20221116"
"20221113","∞Ê√·º±","√µ∏∂ªÍ","1071","1037","20221116"
"20221113","∞Ê√·º±","√ª∆Ú","2078","1446","20221116"
"20221113","∞Ê√·º±","√·√µ","1793","1752","20221116"
"20221113","∞Ê√·º±","≈∞Ëø¯","2086","1885","20221116"
"20221113","∞Ê√·º±","∆Ú≥ª»£∆Ú","3530","3277","20221116"
"20221112","∞Ê√·º±","∞°∆Ú","2154","2520","20221115"
"20221112","∞Ê√·º±","∞•∏≈","2050","1749","20221115"
"20221112","∞Ê√·º±","∞≠√Ã","504","677","20221115"
"20221112","∞Ê√·º±","±º∫¿ªÍ","139","163","20221115"
"20221112","∞Ê√·º±","±›∞Ó","1134","1074","20221115"
"20221112","∞Ê√·º±","±Ë¿Ø¡§","533","650","20221115"
"20221112","∞Ê√·º±","≥≤√·√µ","3667","3736","20221115"
"20221112","∞Ê√·º±","¥Îº∫∏Æ","1642","2001","20221115"
"20221112","∞Ê√·º±","∏∂ºÆ","3520","3198","20221115"
"20221112","∞Ê√·º±","πÈæÁ∏Æ","88","85","20221115"
"20221112","∞Ê√·º±","∫∞≥ª","2176","2054","20221115"
"20221112","∞Ê√·º±","ªÁ∏™","1683","1647","20221115"
"20221112","∞Ê√·º±","ªÛ√µ","403","394","20221115"
"20221112","∞Ê√·º±","Ω≈≥ª","1338","1301","20221115"
"20221112","∞Ê√·º±","√µ∏∂ªÍ","1350","1314","20221115"
"20221112","∞Ê√·º±","√ª∆Ú","1682","2110","20221115"
"20221112","∞Ê√·º±","√·√µ","1931","1808","20221115"
"20221112","∞Ê√·º±","≈∞Ëø¯","2768","2391","20221115"
"20221112","∞Ê√·º±","∆Ú≥ª»£∆Ú","4771","4556","20221115"
"20221111","∞Ê√·º±","∞°∆Ú","2231","2600","20221114"
"20221111","∞Ê√·º±","∞•∏≈","3341","2836","20221114"
"20221111","∞Ê√·º±","∞≠√Ã","589","663","20221114"
"20221111","∞Ê√·º±","±º∫¿ªÍ","157","159","20221114"
"20221111","∞Ê√·º±","±›∞Ó","1713","1716","20221114"
"20221111","∞Ê√·º±","±Ë¿Ø¡§","449","577","20221114"
"20221111","∞Ê√·º±","≥≤√·√µ","3884","3297","20221114"
"20221111","∞Ê√·º±","¥Îº∫∏Æ","629","1861","20221114"
"20221111","∞Ê√·º±","∏∂ºÆ","4419","4488","20221114"
"20221111","∞Ê√·º±","πÈæÁ∏Æ","83","80","20221114"
"20221111","∞Ê√·º±","∫∞≥ª","3716","3494","20221114"
"20221111","∞Ê√·º±","ªÁ∏™","2728","2672","20221114"
"20221111","∞Ê√·º±","ªÛ√µ","331","311","20221114"
"20221111","∞Ê√·º±","Ω≈≥ª","2599","2353","20221114"
"20221111","∞Ê√·º±","√µ∏∂ªÍ","1813","1735","20221114"
"20221111","∞Ê√·º±","√ª∆Ú","1862","1987","20221114"
"20221111","∞Ê√·º±","√·√µ","2388","1764","20221114"
"20221111","∞Ê√·º±","≈∞Ëø¯","4051","3820","20221114"
"20221111","∞Ê√·º±","∆Ú≥ª»£∆Ú","7064","7281","20221114"
"20221110","∞Ê√·º±","∞°∆Ú","1937","2009","20221113"
"20221110","∞Ê√·º±","∞•∏≈","3326","2869","20221113"
"20221110","∞Ê√·º±","∞≠√Ã","544","508","20221113"
"20221110","∞Ê√·º±","±º∫¿ªÍ","152","145","20221113"
"20221110","∞Ê√·º±","±›∞Ó","1694","1712","20221113"
"20221110","∞Ê√·º±","±Ë¿Ø¡§","397","434","20221113"
"20221110","∞Ê√·º±","≥≤√·√µ","2960","2690","20221113"
"20221110","∞Ê√·º±","¥Îº∫∏Æ","507","545","20221113"
"20221110","∞Ê√·º±","∏∂ºÆ","4531","4369","20221113"
"20221110","∞Ê√·º±","πÈæÁ∏Æ","86","84","20221113"
"20221110","∞Ê√·º±","∫∞≥ª","3592","3439","20221113"
"20221110","∞Ê√·º±","ªÁ∏™","2800","2704","20221113"
"20221110","∞Ê√·º±","ªÛ√µ","294","261","20221113"
"20221110","∞Ê√·º±","Ω≈≥ª","2578","2450","20221113"
"20221110","∞Ê√·º±","√µ∏∂ªÍ","1880","1718","20221113"
"20221110","∞Ê√·º±","√ª∆Ú","1733","1769","20221113"
"20221110","∞Ê√·º±","√·√µ","2187","1643","20221113"
"20221110","∞Ê√·º±","≈∞Ëø¯","3969","3704","20221113"
"20221110","∞Ê√·º±","∆Ú≥ª»£∆Ú","7069","6951","20221113"
"20221109","∞Ê√·º±","∞°∆Ú","1974","1864","20221112"
"20221109","∞Ê√·º±","∞•∏≈","3337","2874","20221112"
"20221109","∞Ê√·º±","∞≠√Ã","558","548","20221112"
"20221109","∞Ê√·º±","±º∫¿ªÍ","143","138","20221112"
"20221109","∞Ê√·º±","±›∞Ó","1652","1616","20221112"
"20221109","∞Ê√·º±","±Ë¿Ø¡§","423","417","20221112"
"20221109","∞Ê√·º±","≥≤√·√µ","2493","2634","20221112"
"20221109","∞Ê√·º±","¥Îº∫∏Æ","526","474","20221112"
"20221109","∞Ê√·º±","∏∂ºÆ","4493","4285","20221112"
"20221109","∞Ê√·º±","πÈæÁ∏Æ","95","81","20221112"
"20221109","∞Ê√·º±","∫∞≥ª","3472","3221","20221112"
"20221109","∞Ê√·º±","ªÁ∏™","2753","2578","20221112"
"20221109","∞Ê√·º±","ªÛ√µ","380","375","20221112"
"20221109","∞Ê√·º±","Ω≈≥ª","2614","2452","20221112"
"20221109","∞Ê√·º±","√µ∏∂ªÍ","1845","1722","20221112"
"20221109","∞Ê√·º±","√ª∆Ú","1637","1594","20221112"
"20221109","∞Ê√·º±","√·√µ","1865","1629","20221112"
"20221109","∞Ê√·º±","≈∞Ëø¯","3954","3594","20221112"
"20221109","∞Ê√·º±","∆Ú≥ª»£∆Ú","7089","6965","20221112"
"20221108","∞Ê√·º±","∞°∆Ú","2091","2015","20221111"
"20221108","∞Ê√·º±","∞•∏≈","3370","2997","20221111"
"20221108","∞Ê√·º±","∞≠√Ã","621","603","20221111"
"20221108","∞Ê√·º±","±º∫¿ªÍ","113","128","20221111"
"20221108","∞Ê√·º±","±›∞Ó","1743","1632","20221111"
"20221108","∞Ê√·º±","±Ë¿Ø¡§","402","450","20221111"
"20221108","∞Ê√·º±","≥≤√·√µ","2588","2687","20221111"
"20221108","∞Ê√·º±","¥Îº∫∏Æ","488","498","20221111"
"20221108","∞Ê√·º±","∏∂ºÆ","4871","4764","20221111"
"20221108","∞Ê√·º±","πÈæÁ∏Æ","79","73","20221111"
"20221108","∞Ê√·º±","∫∞≥ª","3580","3334","20221111"
"20221108","∞Ê√·º±","ªÁ∏™","2819","2629","20221111"
"20221108","∞Ê√·º±","ªÛ√µ","296","279","20221111"
"20221108","∞Ê√·º±","Ω≈≥ª","2615","2486","20221111"
"20221108","∞Ê√·º±","√µ∏∂ªÍ","1915","1771","20221111"
"20221108","∞Ê√·º±","√ª∆Ú","1777","1681","20221111"
"20221108","∞Ê√·º±","√·√µ","1995","1782","20221111"
"20221108","∞Ê√·º±","≈∞Ëø¯","4012","3661","20221111"
"20221108","∞Ê√·º±","∆Ú≥ª»£∆Ú","7147","7006","20221111"
"20221107","∞Ê√·º±","∞°∆Ú","2085","1977","20221110"
"20221107","∞Ê√·º±","∞•∏≈","3325","2738","20221110"
"20221107","∞Ê√·º±","∞≠√Ã","608","574","20221110"
"20221107","∞Ê√·º±","±º∫¿ªÍ","125","107","20221110"
"20221107","∞Ê√·º±","±›∞Ó","1638","1571","20221110"
